Adoptivbarn;Barn
Adoptivförälder;Föräldrar
Barnfamilj;Familj
Biologisk förälder;Föräldrar
Biologiskt barn;Barn
Boförälder;Föräldrar
Civilstånd;Civilstånd
Efterlevande partner;Civilstånd
Ej gift;Civilstånd
Ensamboende;Samlevnadsform
Ensamförälderfamilj;Familj
Ensamstående;Samlevnadsform
Familj (kärnfamilj);Familj
Familjeenhet;Familj
Familjehemsbarn;Barn
Frånlevande förälder;Föräldrar
Förut gift;Civilstånd
Gemensamt barn;Barn
Gift sammanboende;Samlevnadsform
Gift;Civilstånd
Halvsyskon;Syskon
Helsyskon;Syskon
Maka;Civilstånd
Make;Civilstånd
Ogift;Civilstånd
Ombildad familj;Familj
Partnerskapsskillnad;Upplösning av sammanboende
Registrerad partner;Civilstånd
Sambo;Samlevnadsform
Samboförhållande;Samlevnadsform
Sammanboende;Samlevnadsform
Separation;Upplösning av sammanboende
Skild partner;Civilstånd
Skild;Civilstånd
Skilsmässa;Upplösning av sammanboende
Styvbarn;Barn
Styvfar;Föräldrar
Styvförälder;Föräldrar
Styvmor;Föräldrar
Styvsyskon;Syskon
Särbarn;Barn
Traditionell kärnfamilj;Familj
Upplöst homosexuellt;Upplösning av sammanboende
Upplöst sammanboende;Upplösning av sammanboende
Utvidgad familj;Familj
Äktenskap;Civilstånd
Änka;Civilstånd
Änkling;Civilstånd
